"","chungcheong","seoul"
"523","그냥 흥미를 생각보다 많이 자극을 했단 말여.","그냥 흥미를 생각보다 많이 자극을 했단 말이야."
"524","근데 나는 그~ 고기를 {laughing} 줄일 생각은 없는 거 같어.","근데 나는 그~ 고기를 {laughing} 줄일 생각은 없는 거 같아."
"525","왜냐면은 내가 내 먹는 영양소들을 보면은 진짜 고기 류가 엄청 많단 말여.","왜냐하면은 내가 내 먹는 영양소들을 보면은 진짜 고기 류가 엄청 많단 말이야."
"526","그리고 내가 야채를 안 좋아하는 편이기 때문에 고기는 진짜 좋아하기 때문에 나는 고기를 줄이진 못할 거 같어.","그리고 내가 야채를 안 좋아하는 편이기 때문에 고기는 진짜 좋아하기 때문에 나는 고기를 줄이진 못할 거 같아."
"527","우리가 요즘 다이어트 얘기를 하고 있잖어.","우리가 요즘 다이어트 얘기를 하고 있잖어."
"528","근데 내가 다이어트를 하기 전에 목표를 잡을 때","근데 내가 다이어트를 하기 전에 목표를 잡을 때"
"529","아~ 그냥 살을 뺄까","아~ 그냥 살을 뺄까"
"530","((아)) 그~ 아예 그냥 그~ 몸무게 키로 수를 줄이는 걸로 단순하게 목표를 잡을까 이릏게 생각을 예전에 했어 가주 그냥","((아)) 그~ 아예 그냥 그~ 몸무게 키로 수를 줄이는 걸로 단순하게 목표를 잡을까 이렇게 생각을 예전에 했어 가지고 그냥"
"531","막연하게 굶었던 거 같은디 근데","막연하게 굶었던 거 같은데 근데"
"532","내가 다시 생각을 해보니까 그렇게 하기보다 내가 원하는 체형으로 만들어야겠다 라는 생각을 하게 되면서","내가 다시 생각을 해보니까 그렇게 하기보다 내가 원하는 체형으로 만들어야겠다 라는 생각을 하게 되면서"
"533","약간 선호하는 체형을 찾아봤는데 약간 공통점이 일단 탄력 있으면서","약간 선호하는 체형을 찾아봤는데 약간 공통점이 일단 탄력 있으면서"
"534","일 약간 얇은 다리랑 어깨 라인이 되게 직각이시면서 예쁜 사람들이 많잖어.","일 약간 얇은 다리랑 어깨 라인이 되게 직각이시면서 예쁜 사람들이 많잖어."
"535","그런 사람들을 보면서 어깨 라인도 그렇고 팔뚝 살을 빼고 싶다는 생각에","그런 사람들을 보면서 어깨 라인도 그렇고 팔뚝 살을 빼고 싶다는 생각에"
"536","유튜브 영상을 많이 찾아봤던 거 같어.","유튜브 영상을 많이 찾아봤던 거 같아."
"537","너는 어떤 체형으로 몸을 바꿔보고 싶어?","너는 어떤 체형으로 몸을 바꿔보고 싶어?"
"538","우선 나는 상체 쪽에 살이 집중돼 있기 때문에 약간 팔이 얄쌍(했음)/(했으면) 좋겠어.","우선 나는 상체 쪽에 살이 집중돼 있기 때문에 약간 팔이 얄쌍(했음)/(했으면) 좋겠어."
"539","((그리고)) 니가 말한 거처럼 약간 어깨 라인이 일자인 사람들이 많잖어?","((그리고)) 네가 말한 거처럼 약간 어깨 라인이 일자인 사람들이 많잖어?"
"540","그래 가주구 약간 음~ 내가 쫌 어깨가 쫌 굽어 있다 보니까 약간 인제","그래 가지고 약간 음~ 내가 조금 어깨가 조금 굽어 있다 보니까 약간 인제"
"541","어깨 라운드 숄더 교정도 하구 어~","어깨 라운드 숄더 교정도 하구 어~"
"542","너처럼 니가 말한 것처럼 일자 ((드루x)) 일자 다리 운동도 하는 것 하고","너처럼 네가 말한 것처럼 일자 ((드루x)) 일자 다리 운동도 하는 것 하고"
"543","이런 식으로 나도 원하는 체형으로 바꿔보고 싶어.","이런 식으로 나도 원하는 체형으로 바꿔보고 싶어."
"544","나는 요즘 건강이 말이 아니라서 영양제를 챙겨 먹고 있는데","나는 요즘 건강이 말이 아니라서 영양제를 챙겨 먹고 있는데"
"545","눈이 너무 안 보이는 거야. {laughing}","눈이 너무 안 보이는 거야. {laughing}"
"546","요즘따라 침침한 거야.","요즘따라 침침한 거야."
"547","그래 가주구 로테인이라는 눈에 좋은 영양제두 챙겨 먹구 있구","그래 가지고 로테인이라는 눈에 좋은 영양제두 챙겨 먹구 있구"
"548","어~ 내가 머리가 머리 영양분이 진짜 없어서 얇다 보니까","어~ 내가 머리가 머리 영양분이 진짜 없어서 얇다 보니까"
"549","비오틴이라는 영양제가 진짜 좋더라고","비오틴이라는 영양제가 진짜 좋더라고"
"550","그게 쫌 털이 많이 난다는 장 부작용도 있긴 한디","그게 조금 털이 많이 난다는 장 부작용도 있긴 한데"
"551","어~ 먹다 보니까 뭔가 머리가 더 단단해 ((정강해))졌다고 해야 되나?","어~ 먹다 보니까 뭔가 머리가 더 단단해 ((정강해))졌다고 해야 되나?"
"552","그런 것도 있어 가주구 추천하는 영양제가 있어.","그런 것도 있어 가지고 추천하는 영양제가 있어."
"553","나는 내 몸에 칼슘이 부족하다는 결과가 나왔어 가지고 유제품을 많이 먹으려고 노력을 했었어.","나는 내 몸에 칼슘이 부족하다는 결과가 나왔어 가지고 유제품을 많이 먹으려고 노력을 했었어."
"554","그래서 내가 우유를 어~ 항상 냉장고에 빠지지 않고 우유가 항상 구비돼 있어 가주구","그래서 내가 우유를 어~ 항상 냉장고에 빠지지 않고 우유가 항상 구비돼 있어 가지고"
"555","빵 같은 걸 먹을 때 우유를 어띃게든 최대한","빵 같은 걸 먹을 때 우유를 어떻게든 최대한"
"556","어~ 일상에 스며들게끔 우유를 최대한 많이 섭취하려고 했어.","어~ 일상에 스며들게끔 우유를 최대한 많이 섭취하려고 했어."
"557","그래서 나는 영양제에 대해선 내가 아직 무지하기 때문에 음식으로 대체하려고","그래서 나는 영양제에 대해선 내가 아직 무지하기 때문에 음식으로 대체하려고"
"558","칼슘이 들어간 멸치나 ((오히려)) 우유 같은 걸 섭취했던 거 같아.","칼슘이 들어간 멸치나 ((오히려)) 우유 같은 걸 섭취했던 거 같아."
"559","나는 나중에 걱정되는 병이 하나 있는디 그게 우리 엄마 아빠가 둘 다 당뇨셔.","나는 나중에 걱정되는 병이 하나 있는데 그게 우리 엄마 아빠가 둘 다 당뇨셔."
"560","그래 가주구 나는 유전적으로 어쩔 수 없이 당뇨를 걸릴 확률이 정말 높은 사람이잖어?","그래 가지고 나는 유전적으로 어쩔 수 없이 당뇨를 걸릴 확률이 정말 높은 사람이잖어?"
"561","그래 가주구 당뇨에 대해서 걱정이 많은데","그래 가지고 당뇨에 대해서 걱정이 많은데"
"562","그래서 뭔가 당에 대한 섭취를 줄이고자 하는데 ((그)) 쫌 어려워 가주구 요즘 고민이여.","그래서 뭔가 당에 대한 섭취를 줄이고자 하는데 ((그)) 조금 어려워 가지고 요즘 고민이야."
"563","그래서 내가 음~ 이제 원래는 간식을 잘 안 먹었는디","그래서 내가 음~ 이제 원래는 간식을 잘 안 먹었는데"
"564","요즘 과자가 너무 맛있어 가주구 하루에 한 개씩은 꼭 먹고 있거든?","요즘 과자가 너무 맛있어 가지고 하루에 한 개씩은 꼭 먹고 있거든?"
"565","그래 가주구 이제 뭔가 간식을 먹더라도 과자 같은 거 말고 뭐~","그래 가지고 이제 뭔가 간식을 먹더라도 과자 같은 거 말고 뭐~"
"566","달콤한 고구마 말랭이라던지 이렇게 줄이고 습관을 고치고 싶어.","달콤한 고구마 말랭이라던지 이렇게 줄이고 습관을 고치고 싶어."
"567","유전적으로 그런 병에 걸릴 위험이 좀 크다면은 조절을 해야 될 거 같애.","유전적으로 그런 병에 걸릴 위험이 좀 크다면은 조절을 해야 될 거 같아."
"568","왜냐면은 세상에 많은 음식 진짜 많은데 그렇게 당뇨에 걸려버리면은","왜냐하면은 세상에 많은 음식 진짜 많은데 그렇게 당뇨에 걸려버리면은"
"569","음식을 먹는데 제한이 되잖어.","음식을 먹는데 제한이 되잖어."
"570","그래 가지구 너가 앞으로 과자에 많이 중독돼 있다면 내가 옆에서 쫌 말려 보도록 해 볼게.","그래 가지구 너가 앞으로 과자에 많이 중독돼 있다면 내가 옆에서 조금 말려 보도록 해 볼게."
"571","나는 주변에 당뇨를 걸리신 분을 봤어 가지고 그게 얼마나 힘든지 알기 때문에","나는 주변에 당뇨를 걸리신 분을 봤어 가지고 그게 얼마나 힘든지 알기 때문에"
"572","어~ 진짜 나도 안 걸렸으면 좋겠어.","어~ 진짜 나도 안 걸렸으면 좋겠어."
"573","너나 나나 그냥 내 주변 사람들 모두","너나 나나 그냥 내 주변 사람들 모두"
"574","내가 살면서 가장 아팠던 때가 있는데 그게 고등학교 일 학년 후반이었던 거 같어.","내가 살면서 가장 아팠던 때가 있는데 그게 고등학교 일 학년 후반이었던 거 같아."
"575","왜냐면 내가 중학교 때 굶어가면서 다이어트를 하다 보니까 위가 진짜 그지같이 변해 가주구","왜냐하면 내가 중학교 때 굶어가면서 다이어트를 하다 보니까 위가 진짜 거지같이 변해 가지고"
"576","맨날 위염을 달고 살고 맨날 스트레스 받으면 위가","맨날 위염을 달고 살고 맨날 스트레스 받으면 위가"
"577","쫌만 이라도 스트레스 받으면 위가 막 춤을 추고 그러는 경우가 있었는디","조금만 이라도 스트레스 받으면 위가 막 춤을 추고 그러는 경우가 있었는데"
"578","그래 가주구 그때 진짜","그래 가지고 그때 진짜"
"579","뭐~ 몇 달 동안 고생하면서 양배추 즙도 먹구 하다 보니까 괜찮아지긴 했는데","뭐~ 몇 달 동안 고생하면서 양배추 즙도 먹구 하다 보니까 괜찮아지긴 했는데"
"580","아~ 위가 아프면은 진짜 진짜 고통스럽더라구","아~ 위가 아프면은 진짜 진짜 고통스럽더라구"
"581","나도 너처럼 비슷하게 위가 아팠던 적 있었어.","나도 너처럼 비슷하게 위가 아팠던 적 있었어."
"582","고등학교 일 학년 때도 그렇고 중 삼 때도 그렇고 이번 년도에도 한 번 뒤집어질 뻔 했었단 말야.","고등학교 일 학년 때도 그렇고 중 삼 때도 그렇고 이번 년도에도 한 번 뒤집어질 뻔 했었단 말야."
"583","근데 그게 뭐냐면 나도 스트레스성 위염에 갑작스럽게 와 가지고","근데 그게 뭐냐면 나도 스트레스성 위염에 갑작스럽게 와 가지고"
"584","진짜 화장실에 그때 중학교 때 머리를 깜으려고 했는데 갑자기 눈 앞이 안 보이는 거야.","진짜 화장실에 그때 중학교 때 머리를 감으려고 했는데 갑자기 눈 앞이 안 보이는 거야."
"585","그래 가지구 어라 이거 그냥 내가 잠겨 지 바로 자다 일어나 가지구 그런가보다 했는데","그래 가지구 어라 이거 그냥 내가 잠겨 지 바로 자다 일어나 가지구 그런가보다 했는데"
"586","물 소리또 안 나고 물을 분명 틀었는데","물 소리도 안 나고 물을 분명 틀었는데"
"587","물 소리도 ((안나고)) 눈앞이 점점 회색깔로 변하더니 귀가 아예 아무것도 안 들리는 거야.","물 소리도 ((안나고)) 눈앞이 점점 회색깔로 변하더니 귀가 아예 아무것도 안 들리는 거야."
"588","그러면서 진짜 말도 안 되는 처음 느껴보는 곳에서 고통이 시작된 거야.","그러면서 진짜 말도 안 되는 처음 느껴보는 곳에서 고통이 시작된 거야."
"589","내가 한 번도 위에서는 문제가 없었는데 진짜 너무 아팠어 가지구 그냥 바로 완전 골로 갈 뻔 한 적이 있었어.","내가 한 번도 위에서는 문제가 없었는데 진짜 너무 아팠어 가지구 그냥 바로 완전 골로 갈 뻔 한 적이 있었어."
"590","그래서 나도 위가 아픈 사 위가 아펐다는 사람 얘기를 들으면 공감을 엄청 하게 돼.","그래서 나도 위가 아픈 사 위가 아팠다는 사람 얘기를 들으면 공감을 엄청 하게 돼."
"591","그게 진짜 얼마나 아픈지 알기 때문에 진짜 위 아픈 거는 너무 큰 고통인 거 같아.","그게 진짜 얼마나 아픈지 알기 때문에 진짜 위 아픈 거는 너무 큰 고통인 거 같아."
"592","내가 편도가 쫌 아픈 적이 아플 일이 진짜 많잖아.","내가 편도가 조금 아픈 적이 아플 일이 진짜 많잖아."
"593","근데 내가 요즘은 편도에 대해서 안 아프거든?","근데 내가 요즘은 편도에 대해서 안 아프거든?"
"594","그게 뭐냐면은 내가 편도염이라서 염증 같은 세균 때문에","그게 뭐냐 하면은 내가 편도염이라서 염증 같은 세균 때문에"
"595","그렇게 아픈 거였는디 그게 아침에 일어나자마자 아침에 잘 때","그렇게 아픈 거였는데 그게 아침에 일어나자마자 아침에 잘 때"
"596","세균이 고여 있어 가주구 그 침을 삼키면은 편도가 염증이 생긴다는 거여.","세균이 고여 있어 가지고 그 침을 삼키면은 편도가 염증이 생긴다는 거야."
"597","그래 가주구 아침에 일어나자마자 바로 양치를 하면은 그게 쫌 나아진다고 해서","그래 가지고 아침에 일어나자마자 바로 양치를 하면은 그게 조금 나아진다고 해서"
"598","그것도 하고 가글도 진짜 열심히 하니까 진짜 편도염이 진짜 깔끔하게 없어지더라구","그것도 하고 가글도 진짜 열심히 하니까 진짜 편도염이 진짜 깔끔하게 없어지더라구"
"599","그래 가주구 이제 아침에 일어나자마자 양치를 하고 밥 먹고도 양치를 하고 밥 먹","그래 가지고 이제 아침에 일어나자마자 양치를 하고 밥 먹고도 양치를 하고 밥 먹"
"600","그래 가주구 양칠 하루에 다섯 번을 하게 된 거여.","그래 가지고 양치를 하루에 다섯 번을 하게 된 거야."
"601","그래 가주구 내가 요즘 쫌 치아 관리에 힘을 쓰고 있는디","그래 가지고 내가 요즘 조금 치아 관리에 힘을 쓰고 있는데"
"602","어~ 너는 양치질을 할 때 뭐~ 치실이나 뭐~ 혀 클리너 치간 칫솔 이런 걸 사용하는 편이여?","어~ 너는 양치질을 할 때 뭐~ 치실이나 뭐~ 혀 클리너 치간 칫솔 이런 걸 사용하는 편이야?"
