"","jeju","seoul"
"911","이제 집에 영 이성 집에서 청소하고 뭐하고 막 이 생각을 하면 어디도 못가고예","이제 집에 이렇게 있고 집에서 청소하고 뭐하고 막 이 생각을 하면 어디도 못가고요"
"912","뭐냐 그건 헬스 여기 말고는 어디 시 &company-name1&","뭐냐 그건 헬스 여기 말고는 어디 시 &company-name1&"
"913","여기도 있지앞에 여기 우리 앞에 그 대림 앞에도","여기도 있지앞에 여기 우리 앞에 그 대림 앞에도"
"914","거기는 뭐잖아 요가잖아","거기는 뭐잖아 요가잖아"
"915","거긴 요가영 뭔가?","거긴 요가랑 뭔가?"
"916","헬스","헬스"
"917","우리 주변에 헬스 많이 있는 것 같아마씨","우리 주변에 헬스 많이 있는 것 같아요"
"918","나가 나가 안 다녀보난 잘 몰라서 그렇지","나가 나가 안 다녀보난 잘 몰라서 그렇지"
"919","싸우나 있는딘 여기밲에 어서이","싸우나 있는덴 여기밖에 없지"
"920","서울 사우나도 있지 않애마씨?","서울 사우나도 있지 있잖아요"
"921","요즘엔 거기가 많이 감실걸","요즘엔 거기가 많이 갈걸"
"922","아침 시간엔 누구","아침 시간엔 누구"
"923","없겠주마씨","없겠지요"
"924","노는 사람 아니면","노는 사람 아니면"
"925","노는 사람 아니면 이시쿠과","노는 사람 아니면 있을까요?"
"926","거길 갈까","거길 갈까"
"927","겅해도 되고","그래도 되고"
"928","싸우나도 한달 난 싸우나도","싸우나도 한달 난 싸우나도"
"929","같이 그거 한 달 끊으면 더 싸잖아예","같이 그거 한 달 끊으면 더 싸잖아요"
"930","삼사개월","삼사개월"
"931","자전거 사잰 하맨 지금","자전거 사잰 하맨 지금"
"932","사지마랑 렌탈하랜하니까","사지말고 렌탈하라니까"
"933","어서 렌탈 자전거 얼마 안해","없어 렌탈 자전거 얼마 안해"
"934","기?","그래요?"
"935","(())완전 좋다예 저거예","(())완전 좋다예 저거예"
"936","탁구장","탁구장"
"937","아 어저께 저기 음","아 어저께 저기 음"
"938","모란도 그렇고","모란도 그렇고"
"939","아무리 문을 열어도 비린내가 나는 것 닮마","아무리 문을 열어도 비린내가 나는 것 같아"
"940","나 완전 예민해 게 비린내","나 완전 예민해 #게 비린내"
"941","코가 쫓아댕겨 그냄새를","코가 쫓아댕겨 그냄새를"
"942","음","음"
"943","다른 사람보다 어떵 안하댄 해도","다른 사람보다 어떻게 안한다고 해도"
"944","아까 언니 비린내 얘기해신디 비린내 나 못느꼇거든","아까 언니 비린내 얘기했는데 비린내 나 못느꼇거든"
"945","난 막나 남서","난 막나 나고 있어"
"946","잘도 비린내에 다른 냄새는 모르겠는데","잘도 비린내에 다른 냄새는 모르겠는데"
"947","근데 저거 향꽂이 잘도 좋은게마씨 나이렇게 갈고","근데 저거 향꽂이 잘도 좋네요 나이렇게 갈고"
"948","가늘고 저런 향꽂이가 있는지 몰란","가늘고 저런 향꽂이가 있는지 몰란"
"949","송광사에서 준거여","송광사에서 준거여"
"950","한번 갔다 올 때랑 하나 상옵서","한번 갔다 올 때는 하나 사오세요"
"951","이거 이거","이거 이거"
"952","세트로 이거","세트로 이거"
"953","그래서","그래서"
"954","어 알았저 너 이런거 안하잖아 너넨 어디서는","어 알았저 너 이런거 안하잖아 너넨 어디서는"
"955","성당에서","성당에서"
"956","아 성당에서는 안하주마씨","아 성당에서는 안하죠"
"957","근데뭐 상광있수과 집에서 이제 냄새나고 뭐할때 피우면 좋은거 아니?","근데뭐 상광있수과 집에서 이제 냄새나고 뭐할때 피우면 좋은거 아니?"
"958","아니거 절할때 쓰는거 기도할때 쓰는건데","아니거 절할때 쓰는거 기도할때 쓰는건데"
"959","아아","아아"
"960","우리는 촛불 키니까","우리는 촛불 키니까"
"961","너넨 촛불켜난","너넨 촛불켜난"
"962","향은","향은"
"963","근데 어쩔때 무슨 행사고 할때는 그유황 하거든예","근데 어쩔때 무슨 행사고 할때는 그유황 해요"
"964","장례하고 뭐하고 할 때는 그 유황해마씨","장례하고 뭐하고 할 때는 그 유황해요"
"965","기로구나","그렇구나"
"966","나는 (())","나는 (())"
"967","나도 우리 집에 그런 풍경","나도 우리 집에 그런 풍경"
"968","달고싶어 여름 같은 때는 무사 바람 영 불면 그 풍경소리","달고싶어 여름 같은 때는 무사 바람 이렇게 불면 그 풍경소리"
"969","찡 행 그 맑은 소리 나잖아예","찡 하고 그 맑은 소리 나잖아요"
"970","풍경소리 좋잖아","풍경소리 좋잖아"
"971","풍경이 좋지","풍경이 좋지"
"972","그런 거 좋아해","그런 거 좋아해"
"973","저거","저거"
"974","저거 폴란드 갔당 산거","저거 폴란드 갔다  산거"
"975","기과","기과"
"976","아 요번에 드림캐쳐도 한번 사보고 싶은 생각이 들어","아 요번에 드림캐쳐도 한번 사보고 싶은 생각이 들어"
"977","드림캐쳐","드림캐쳐"
"978","예","예"
"979","그 불빛영 엘이디해가지고 아이들 방에","그 불빛영 엘이디해가지고 아이들 방에"
"980","너 엘이디로 바꿘 다?","너 엘이디로 바꿘 다?"
"981","언제 바꿘?","언제 바꿘?"
"982","오래됐지","오래됐지"
"983","나도","나도"
"984","잘 바까젼 이","잘 바까젼 #이"
"985","전부 다 바꿨수다","전부 다 바꿨어요"
"986","나 다 바꿘 나도","나 다 바꿘 나도"
"987","방이영 뭐영","방이랑 뭐랑"
"988","화장실이이영","화장실이랑"
"989","저화장실은 안바~","저화장실은 안바~"
"990","화장실은 안 바꿨구나","화장실은 안 바꿨구나"
"991","나도 화장실 명의를 바꿔","나도 화장실 명의를 바꿔"
"992","현관을 안바꿘","현관을 안바꿘"
"993","여기를 바꾸난 너무 환행 머리카락 하나도 다 보이는거라","여기를 바꾸니까 너무 환해서 머리카락 하나도 다 보이는거야"
"994","화장실은","화장실은"
"995","안방 경행 안방은 바꿔부런 다시","안방 그래서 안방은 바꿔버렸어 다시"
"996","우리는 화장실 엘이디는 안했는데","우리는 화장실 엘이디는 안했는데"
"997","불이 나간예 게난 우리 아방이","불이 나간예 게난 우리 아방이"
"998","이거를 그 주황색 불 같은 걸 사와야 되는데 하얀색 불로 사온거라예","이거를 그 주황색 불 같은 걸 사와야 되는데 하얀색 불로 사온거에요"
"999","너무 볼간예 다보여","너무 밝아서요 다보여"
"1000","근데 너무 장피해","근데 너무 장피해"
"1001","단점이라라게","단점이더라고"
"1002","이날 화장실에 다 겅 은은한 등을 하는 이유가 이신거라마씨","이날 화장실에 다 그렇게 은은한 등을 하는 이유가 있는거에요"
"1003","안방을 바꿔부러 그은은한 등으로","안방을 바꿔버려 그은은한 등으로"
"1004","딴세상 닮아라 엘이디","딴세상 같더라 엘이디"
"1005","엘이디 해노난 그 깜깜한거 잘도 살안 우리","엘이디 해노니까 그 깜깜한거 잘도 살았어 우리"
"1006","게난","게난"
"1007","너네 리모델링 많이 했지 너네 동네","너네 리모델링 많이 했지 너네 동네"
"1008","우리 동에 올래","우리 동에 올래"
"1009","이사도 가고 오고 하멍예 리모델링을예","이사도 가고 오고 하멍예 리모델링을예"
"1010","우리 우리 라인만 한 네다섯 집해수다","우리 우리 라인만 한 네다섯 집해수다"
"1011","갱 집에신 사람들들은 다 시끄러워 죽는 줄 알았댄마씨","그래서 집에있는 사람들들은 다 시끄러워 죽는 줄 알았대요"
"1012","낮에 들 그거 하니까","낮에 들 그거 하니까"
"1013","나가이","나가이"
"1014","작년에 재작년이구나","작년에 재작년이구나"
"1015","아래층과 위층하고 동시에 나 죽는줄 알안","아래층과 위층하고 동시에 나 죽는줄 알았어"
"1016","어쨌든 미처부는줄알안","어쨌든 미처버리는줄 알았어"
"1017","겅했댄 합디다마씨","그랬다고 하더라고요"
"1018","그리고 또 뭐했던건 나는","그리고 또 뭐했던건 나는"
"1019","가 보니까 몰랐는데 아이들 코로나 때문에 온라인 했잖마씨","가 보니까 몰랐는데 아이들 코로나 때문에 온라인 했잖아요"
"1020","이 온라인 방송이 안들릴 정도로 시끄러웠댄마씨","이 온라인 방송이 안들릴 정도로 시끄러웠대요"
"1021","미쳐버리는 줄 알았다 며 우리 아기 하는데","미쳐버리는 줄 알았다 며 우리 아기 하는데"
"1022","너는 위층에","너는 위층에"
"1023","아뇨 위층이 한 것도 아니고","아뇨 위층이 한 것도 아니고"
"1024","우리 우리 라인 우리 라인 위아래 이렇게 하는데","우리 우리 라인 우리 라인 위아래 이렇게 하는데"
"1025","다 바닥도 뜯어내고 막 막 하고 하니까 그 공사가 쿵쾅쿵쾅이 이","다 바닥도 뜯어내고 막 막 하고 하니까 그 공사가 쿵쾅쿵쾅이 이"
"1026","이게","이게"
"1027","우리 게 그 층간 소음이 별로 안 좋잖아마씨 우리 아파트가 겅 하니까","우리 #게 그 층간 소음이 별로 안 안좋잖아요 우리 아파트가 그러니까 하니까"
"1028","아래층은 곧 올라오지","아래층은 곧 올라오지"
"1029","난 이 아래층에 한거 생각하면 이","난 #이 아래층에 한거 생각하면 #이"
"1030","그저 우에랜만 생각해났주게","그저 위라고만 생각했었지"
"1031","아니 우아래 전부다","아니 우아래 전부다"
"1032","우리 여기 뒤에 물 내려가는 통있잖아~","우리 여기 뒤에 물 내려가는 통있잖아~"
"1033","거기도 다 들려","거기도 다 들려"
"1034","그것도 다들 이제 화장실도 이것도 하나로 이어지니까 다들리지예","그것도 다들 이제 화장실도 이것도 하나로 이어지니까 다들리죠"
"1035","그 담배피면 그 담배진도 화장실로 다 내려옵니다","그 담배피면 그 담배진도 화장실로 다 내려옵니다"
"1036","다른디 겅 안하느냐?","다른데 그렇게 안해?"
"1037","다른데 안살아봔","다른데 안살아봔"
"1038","우리 층간소음 안좋긴허여","우리 층간소음 안좋긴해"
"1039","이게 온채로 하나로 되부니까","이게 온채로 하나로 되부니까"
"1040","위에서 뭐 생기면 아래까지 쫙","위에서 뭐 생기면 아래까지 쫙"
"1041","게난 우리 담배를 안 피는 디 우리 그 화장실","그래서 우리 담배를 안 피는 디 우리 그 화장실"
"1042","환풍기잖아예 거기 담배진이 끼어있다니까","환풍기잖아예 거기 담배진이 끼어있다니까"
"1043","우리도 안 방에(()) 우리도 담배 안피는데","우리도 안 방에(()) 우리도 담배 안피는데"
"1044","그런데 그 다 우아래서 누군가가","그런데 그 다 위아래에서 누군가가"
"1045","밑에층인지 삼층인지 모르켜만","밑에층인지 삼층인지 모르겟지만"
"1046","우아래 그동안 펴가지고 그게 그렇게 그러니까","위아래 그동안 펴가지고 그게 그렇게 그러니까"
"1047","아니 화장실은 담배냄새낭 죽어지켄 허멍 막 신경질내마씨","아니 화장실은 담배냄새나서 죽어지겠다고 하면서 막 신경질내요"
"1048","우리는 담배 우리도 안피니까","우리는 담배 우리도 안피니까"
"1049","리모델링 많이 햄실걸","리모델링 많이 할걸"
"1050","할때도 됬고예 벌써 여기 십 오 년인가","할때도 됬고요 벌써 여기 십 오 년인가"
"1051","십오년 됬지","십오년 됬지"
"1052","우리도 도배만 했져 도배만","우리도 도배만 했져 도배만"
"1053","언니는 이렇게 도배라도 하니까","언니는 이렇게 도배라도 하니까"
"1054","그런데 이 갈색을 바꾸고 싶은데","그런데 이 갈색을 바꾸고 싶은데"
"1055","겅하잰 하면 대공사주","그렇게하려고 하면 대공사지"
"1056","갈색은 하얀색으로 싹","갈색은 하얀색으로 싹"
"1057","시트지 붙여야되 시트지","시트지 붙여야되 시트지"
"1058","시트지 싹 붙이고 싶은데","시트지 싹 붙이고 싶은데"
"1059","아방은 이사 가불겐","아빠는 이사 가버리쟤"
"1060","도배만 해도 깨끗은해","도배만 해도 깨끗은해"
"1061","너무 색깔이예 좀","너무 색깔이요 좀"
"1062","어두워게 우리","어두워게 우리"
"1063","음","음"
"1064","우리 중학교때 강보난 하얀색이랜","우리 중학교때 강보난 하얀색이랜"
"1065","무사 우린 그떄 우린 이게 잘도 고상했어 이","왜 우린 그떄 우린 이게 잘도 고상했어 #이"
"1066","그런데 그때도 이거 너무 색깔 어두원","그런데 그때도 이거 너무 색깔 어두웠어"
"1067","근데 수진이의 작은 집은 좀 환했~","근데 수진이의 작은 집은 좀 환했~"
"1068","밝은색깔 응응","밝은색깔 응응"
